Date,Open,High,Low,Close,Adj Close,Volume
2018-04-10,19.945,20.4,19.92,20.389999,20.389999,4486069
2018-04-11,20.299999,20.440001,20.07,20.120001,20.120001,2826232
2018-04-12,20.139999,20.389999,20.129999,20.389999,20.389999,2433895
2018-04-13,20.440001,20.549999,20.35,20.4,20.4,1814990
2018-04-16,20.389999,20.43,20.25,20.280001,20.280001,1687273
2018-04-17,20.34,20.860001,20.26,20.74,20.74,3094692
2018-04-18,20.77,20.85,20.450001,20.59,20.59,3265935
2018-04-19,20.5,20.709999,20.48,20.57,20.57,1852302
2018-04-20,20.5,20.780001,20.360001,20.780001,20.780001,3185914
2018-04-23,20.690001,20.99,20.6,20.73,20.73,3905812
2018-04-24,20.700001,20.77,20.25,20.530001,20.530001,4352245
2018-04-25,20.450001,20.58,20.02,20.18,20.18,3122367
2018-04-26,20.16,20.530001,20.08,20.309999,20.309999,2229490
2018-04-27,20.32,20.57,20.110001,20.35,20.35,2679002
2018-04-30,20.299999,20.49,20.24,20.42,20.42,3566484
2018-05-02,19.975,20.34,19.975,20.059999,20.059999,3164420
2018-05-03,20.1,20.440001,19.73,19.805,19.805,3605078
2018-05-04,19.805,20.120001,19.705,20.1,20.1,2577565
2018-05-07,20.049999,20.129999,19.92,20.09,20.09,1230065
2018-05-08,20.07,20.34,19.965,20.309999,20.309999,2052778
2018-05-09,20.190001,20.26,19.889999,20.01,20.01,2901956
2018-05-10,20.0,20.190001,19.875,20.049999,20.049999,1703080
2018-05-11,20.049999,20.1,19.915001,20.08,20.08,1205040
2018-05-14,20.049999,20.08,19.985001,20.059999,20.059999,1318182
2018-05-15,20.059999,20.290001,20.01,20.17,20.17,1782650
2018-05-16,20.209999,20.360001,20.09,20.16,20.16,2068119
2018-05-17,20.17,20.610001,20.16,20.610001,20.610001,2336524
2018-05-18,20.58,20.67,20.49,20.65,20.65,2143149
2018-05-21,20.65,20.969999,20.65,20.860001,20.860001,1439420
2018-05-22,21.0,21.02,20.860001,20.950001,20.950001,1915180
2018-05-23,20.879999,20.91,20.610001,20.74,20.74,2527338
2018-05-24,20.700001,20.719999,20.209999,20.51,20.51,3739029
2018-05-25,20.65,20.809999,20.370001,20.68,20.68,3156816
2018-05-29,20.58,20.58,19.915001,20.139999,20.139999,3887091
2018-05-30,20.200001,20.379999,19.940001,20.379999,20.379999,2341727
2018-05-31,20.41,20.440001,19.940001,19.945,19.945,5044811
2018-06-01,20.139999,20.309999,20.120001,20.129999,20.129999,2433521
2018-06-04,20.27,20.389999,20.110001,20.17,20.17,1895013
2018-06-05,20.08,20.41,20.059999,20.25,20.25,2155797
2018-06-06,20.26,20.540001,20.25,20.540001,20.540001,2570203
2018-06-07,20.559999,20.9,20.559999,20.709999,20.709999,2504647
2018-06-08,20.57,20.700001,20.450001,20.6,20.6,2097904
2018-06-11,20.6,20.65,20.23,20.49,20.49,2347851
2018-06-12,20.68,20.709999,20.219999,20.450001,20.450001,2454783
